Function Run Target f1 Eval_nb Duration Added Removed x1 x2
3 32 0.000000 0.000000 4 0.000000 2 0 0.000000000000 0.000000000000
3 33 0.000000 0.000002 180 0.000000 11 2 -0.001393927865 0.000721903788
3 34 0.000000 0.000004 218 0.000000 10 3 -0.001888452031 -0.000805115278
3 35 0.000000 0.000005 208 0.000000 11 2 -0.002180844766 0.000326716004
3 36 0.000000 0.000000 113 0.000000 8 2 0.000573189832 0.000138471608
3 37 0.000000 0.000006 112 0.000000 5 1 -0.000657215454 -0.002257483922
3 38 0.000000 0.000000 237 0.000000 12 3 -0.000024165882 0.000121762528
3 39 0.000000 0.000003 112 0.000000 7 1 -0.000669242365 -0.001522075448
3 40 0.000000 0.000001 203 0.000000 10 3 0.000154157484 0.001041315257
3 41 0.000000 0.000005 210 0.000000 13 4 -0.001515738346 0.001550721838
3 42 0.000000 0.000007 86 0.000000 8 3 0.002474197833 0.001091439155
3 43 0.000000 0.000009 146 0.000000 7 0 0.003059649453 0.000157973534
3 44 0.000000 0.000008 181 0.000000 7 1 0.001166479122 0.002516462005
3 45 0.000000 0.000003 150 0.000000 7 3 0.000550794508 0.001658452992
3 46 0.000000 0.000010 127 0.000000 8 2 0.001028502018 -0.002947144279
3 47 0.000000 0.000009 162 0.000000 8 1 -0.000260154418 0.003058828106
3 48 0.000000 0.000007 199 0.000000 6 0 -0.002379204817 -0.001270739075
3 49 0.000000 0.000003 120 0.000000 10 3 0.000007311579 0.001814982116
3 50 0.000000 0.000000 114 0.000000 7 1 0.000095506835 0.000347558280
3 51 0.000000 0.000009 132 0.000000 7 1 0.000921839039 -0.002914135976
3 52 0.000000 0.000000 87 0.000000 10 3 0.000000000000 0.000000000000
3 53 0.000000 0.000003 133 0.000000 7 0 0.000540115935 0.001775889674
3 54 0.000000 0.000009 194 0.000000 8 1 0.000032313423 -0.002949874367
3 55 0.000000 0.000003 119 0.000000 7 1 -0.000973708390 0.001347512248
3 56 0.000000 0.000000 32 0.000000 8 1 0.000000000000 0.000000000000
3 57 0.000000 0.000010 122 0.000000 10 3 0.002805268399 -0.001385167655
3 58 0.000000 0.000000 99 0.000000 10 3 0.000000000000 0.000000000000
3 59 0.000000 0.000000 157 0.000000 7 1 0.000025477122 0.000222695950
3 60 0.000000 0.000007 116 0.000000 10 3 0.002260258972 -0.001442544081
3 61 0.000000 0.000004 156 0.000000 7 1 0.000324843111 -0.002031854801
3 62 0.000000 0.000003 170 0.000000 9 2 0.000846796700 0.001568185755
3 63 0.000000 0.000000 97 0.000000 7 1 -0.000181237204 -0.000522298752
3 64 0.000000 0.000001 131 0.000000 8 4 0.000389520202 0.000997833651
3 65 0.000000 0.000006 141 0.000000 13 2 -0.000379047007 -0.002512165978
3 66 0.000000 0.000001 140 0.000000 8 2 0.000276665060 0.001154395817
3 67 0.000000 0.000006 170 0.000000 8 2 0.002054891661 0.001416976591
3 68 0.000000 0.000005 193 0.000000 6 0 0.002248545269 -0.000105421480
3 69 0.000000 0.000000 4 0.000000 2 0 0.000000000000 0.000000000000
3 70 0.000000 0.000008 174 0.000000 8 1 -0.000887976334 0.002670716175
3 71 0.000000 0.000000 1 0.000000 0 0 0.000000000000 0.000000000000
3 72 0.000000 0.000005 169 0.000000 8 2 0.001446941291 -0.001838584764
3 73 0.000000 0.000000 76 0.000000 9 2 0.000000000000 0.000000000000
3 74 0.000000 0.000007 152 0.000000 7 1 0.002063447503 -0.001609084418
3 75 0.000000 0.000003 118 0.000000 7 1 -0.001006255362 0.001232191018
3 76 0.000000 0.000000 31 0.000000 7 1 0.000000000000 0.000000000000
3 77 0.000000 0.000002 134 0.000000 10 3 0.001328030486 -0.000105380288
3 78 0.000000 0.000000 139 0.000000 7 1 0.000117698843 -0.000071631257
3 79 0.000000 0.000006 237 0.000000 11 2 -0.002293595388 -0.000707306452
3 80 0.000000 0.000004 96 0.000000 5 2 -0.001774792762 0.000917537365
3 81 0.000000 0.000009 177 0.000000 7 1 -0.002994950919 -0.000645161796
3 82 0.000000 0.000000 1 0.000000 0 0 0.000000000000 0.000000000000
3 83 0.000000 0.000001 127 0.000000 10 3 0.000848803108 0.000332798456
3 84 0.000000 0.000008 156 0.000000 6 0 -0.001696278864 0.002338990706
3 85 0.000000 0.000004 143 0.000000 8 2 0.001368618127 -0.001539397121
3 86 0.000000 0.000000 4 0.000000 2 0 0.000000000000 0.000000000000
3 87 0.000000 0.000003 110 0.000000 7 1 -0.001330984005 0.000931165675
3 88 0.000000 0.000008 161 0.000000 13 3 -0.001546207667 -0.002471444604
3 89 0.000000 0.000009 120 0.000000 8 3 0.000746414760 -0.002837565402
3 90 0.000000 0.000000 278 0.000000 10 1 0.000000530268 0.000000590938
3 91 0.000000 0.000008 176 0.000000 10 3 -0.002792285688 0.000593357066
3 92 0.000000 0.000005 106 0.000000 7 1 0.001703626107 -0.001511206424
3 93 0.000000 0.000006 109 0.000000 7 1 -0.002218353685 0.001215773238
3 94 0.000000 0.000002 215 0.000000 10 3 0.000644559754 -0.001388275854
3 95 0.000000 0.000002 85 0.000000 6 0 0.000416076458 0.001324601685
3 96 0.000000 0.000003 163 0.000000 8 2 0.001420295115 0.000987732681
3 97 0.000000 0.000006 101 0.000000 5 1 0.001352230654 -0.001919894783
3 98 0.000000 0.000001 228 0.000000 14 4 0.000810665830 -0.000823455808
3 99 0.000000 0.000006 167 0.000000 8 2 0.002122680866 -0.001047055524
3 100 0.000000 0.000001 153 0.000000 7 1 -0.000341005053 0.001088464286
-1
